id,refID,EXP or EST,Description,Detailed Anlaysis,Error Assessment,Score,Ranking,Type,Gen_Method,Method_Bin,Method_Type,Types_of_Compounds,wet_dry_Octanol,Value_Reported_As,Value_Type,Comments,Full_Description
meth0071,ref0065,1,1,1,1,1,4,EXP,VP,VP,Static,Simple hydrocarbons,dry octanol,dG,direct,NA,Extrapolation of the standard Gibbs energy from the partial pressure of the solution at varying mole ratios.
meth0072,ref0066,1,1,1,1,1,4,EXP,VP,VP,Static,Simple hydrocarbons,dry octanol,dG,direct,NA,Extrapolation of the standard Gibbs energy from the partial pressure of the solution at varying mole ratios.
meth0075,ref0069,1,0,1,0,0.5,2,EXP,BN-B,GasSol,Static,Gases,dry octanol,Loct,direct,NA,Uses the monometric Ben-Naim/Baer-type apparatus.
meth0076,ref0070,1,1,0,0,0.5,2,EXP,Vgas,GasSol,Static,Gases,dry octanol,Loct,direct,The type of Ostwald coefficient reported is unclear. It is likely based on the original definition. (see Battino 1984),Uses the monometric Van Slyke-Neil blood gas apparatus. 
meth0077,ref0071,1,0,0,0,0.25,1,EXP,MA,GasSol,Static,Gases,dry octanol,Loct,direct,NA,Uses the monometric modified Morrison-Billett apparatus. 
meth0078,ref0072,1,1,0,1,0.75,3,EXP,GLC-RT,RT,Indirect,"Haloalkanes, alkanes",dry octanol,activity coefficient,indirect,KOA calculated using reported VP and Y of each chemical. VP is estimated and reported in paper. Activity experimentally derived using retention time and estimated vapour pressure.,"Octanol is used to fill a packed column. The sample compounds are injected into the column with reference and standard compounds. The activity of the reference compound in octanol is already known. Given the net retention time, the activity coefficient of the solutes in octanol can be determined. Analysis ooccured using gas-liquid chromatography with FID. "
meth0079,ref0074,1,1,0,1,0.75,3,EXP,HS & GC,HS,Static,"Nitroxy, Arene",dry octanol,activity coefficient,indirect,NA,The vapour phase of a sealed thermostatic cell is sampled and analysed using GC-FID.
meth0080,ref0075,1,1,0,0,0.5,2,EXP,HS,HS,Static,"Nitromethane, toluene",dry octanol,KOA,direct,NA,"Automatic headspace analyser with GC-FID. 2 mL of solvent was placed in sample flasks and stoppered. 5 uL of solute test mixture injected using syringe. After 2-15 hours of equilibration, the gas phase was analyzed. A reference system using n-octane in squalene was used to calculate K solvent-air. "
meth0081,ref0076,1,1,1,1,1,4,EXP,HS & GC,HS,Static,Simple hydrocarbons,dry octanol,KOA,direct,NA,Modified method from Hussam and Carr 1985. Additional termo-control system added for the glassbulb containing the gas/liquid standard.
meth0082,ref0077,1,1,1,0,0.75,3,EXP,HS & GC,HS,Static,Simple hydrocarbons,dry octanol,KOA,direct,NA,Same method as described in Park et al. (ref0076)
meth0084,ref0077,0,1,1,1,0.75,3,EST,UNIFAC,QSPR,EST,Simple hydrocarbons,dry octanol,KOA,direct,Carr not listed as co-author but was Dallas's PhD supervisor. ,UNIFAC is a functional group activity coefficient model. 
meth0085,ref0077,0,1,1,1,0.75,3,EST,MOSCED,Solvation,EST,Simple hydrocarbons,dry octanol,KOA,direct,Carr not listed as co-author but was Dallas's PhD supervisor. ,MOSCED stands for Modified Separation of Cohesive Energy Density. It is a solvation theory based model. 
meth0086,ref0078,0,1,0,1,0.5,2,EST,SMD/M06-2X/6-311+G*,Solvation,EST,Hydrocarbons,dry octanol,log KOA,direct,"Model stats: R2 = 0.978, RMSE = 0.59, MAD = 0.4, SE = 0.3","Universal solvation model based on density (SMD) applied using density functional M11 to derive the dGo, which is then used to calculate the log KOA. Calculations completed using Gausian 16 quantum package. Results were compared to KOA values reported in Mackay et al. 2006. Handbook of Physical-Chemical Properties and Environmental Fate for Organic Chemicals. Temperature assumed to be 25 C."
meth0087,ref0078,0,1,0,1,0.5,2,EST,SMD/M11/6-311+G*,Solvation,EST,Hydrocarbons,dry octanol,log KOA,direct,"Model stats: R2 = 0.8891, RMSE = 1.2, MAD = 2.18, SE = 0.6","Universal solvation model based on density (SMD) applied using density functional B3LYP to derive the dGo, which is then used to calculate the log KOA. Calculations completed using Gausian 16 quantum package. Results were compared to KOA values reported in Mackay et al. 2006. Handbook of Physical-Chemical Properties and Environmental Fate for Organic Chemicals. Temperature assumed to be 25 C."
meth0088,ref0078,0,1,0,1,0.5,2,EST,SMD/B3LYP/6-311+G*,Solvation,EST,Hydrocarbons,dry octanol,log KOA,direct,"Model stats: R2 = 0.8618, RMSE = 1.33, MAD = 1.78, SE = 0.75","Universal solvation model based on density (SMD) applied using density functional M06-2X to derive the dGo, which is then used to calculate the log KOA. Calculations completed using Gausian 16 quantum package. Results were compared to KOA values reported in Mackay et al. 2006. Handbook of Physical-Chemical Properties and Environmental Fate for Organic Chemicals. Temperature assumed to be 25 C."
meth0090,ref0080,1,1,1,0,0.75,3,EXP,HS & GC,HS,Static,Alcohols,wet octanol,activity coefficient,indirect,Analysis of water saturated octanol vs octanol CONFIRM IF EST OR EXP VALUE,Same method as described in Park et al. (ref0076)
meth0091,ref0081,1,1,0,0,0.5,2,EXP,GS,GS,Dynamic,Ether,dry octanol,activity coefficient,indirect,VPs calculated from Antonine constants reported in paper,Experimental apparatus setup adopted from Leroi et al. 1977. A controlled stream of gas bubbles are passed through an equilibration container containing octanol. The gas outlet is collected and anlysed on a GC-FID. 
meth0092,ref0082,1,1,0,0,0.5,2,EXP,GS,GS,Dynamic,Haloether,dry octanol,activity coefficient,indirect,VPs calculated from Antonine constants reported in paper,Same gas-stripping method as described in Fukuchi et al. 1999
meth0102,ref0149,0,1,1,1,0.75,3,EST,SM5.42R/BPW91/MIDI!6D,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,"DFT based continuum solvation model (SM5.42R) with rigid geometries, using the Becke–Perdew–Wang-1991 ~BPW91! exchange-correlation functional in the Kohn–Sham Hamiltonian with the MIDI!6D basis set to derive dGo, which is then used to calculate the log KOA."
meth0103,ref0149,0,1,1,1,0.75,3,EST,SM5.42R/BPW91/DZVP,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,"DFT based continuum solvation model (SM5.42R) with rigid geometries, using the Becke–Perdew–Wang-1991 ~BPW91! exchange-correlation functional in the Kohn–Sham Hamiltonian with the Double-Zeta-Valence Polarized (DZVP) basis set to derive dGo, which is then used to calculate the log KOA."
meth0105,ref0032,0,1,0,0,0.25,1,EST,Triangle,QSPR,EST,PAHs,wet octanol,log KOA,direct,NA,dimensionless HLC is the KAW
meth0106,ref0033,0,1,1,1,0.75,3,EST,Triangle,QSPR,EST,"PAHs, CBs, Hydrocarbons",wet octanol,log KOA,direct,Temperature is assumed to be 25. KOW/KAW are QSPR predicted,KOW and KAW are QSAR values
meth0107,ref0087,1,1,0,1,0.75,3,EXP,VD/GC/MS,HS,Static,Terpenes,dry octanol,KOA,direct,KOA measured at ambient temperture; assumed to be 25 C,Same as Hiatt 1997 (ref0006)
meth0108,ref0028,0,1,0,0,0.25,1,EST,MLR,QSPR,EST,CBs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.996, SE = 0.082, n=6","Multiple linear regression model for KOA of CBs using molecular connectivity  indexes. The final model uses 1 descriptors. KOA data from Harner and Bidleman 1998 (ref0008), Harner et al. 2000 (ref0010) and Harner and Shoeib 2002 (ref0017) used. There is no indication of a training set and validation set used. "
meth0109,ref0028,0,1,0,0,0.25,1,EST,MLR,QSPR,EST,PBDES,dry octanol,log KOA,direct,"Model Stats: R2 = 0.963, SE = 0.275,  n=13","Multiple linear regression model for KOA of PBDEs using molecular connectivitiy indexes. The final model uses 2 descriptors. KOA data from Harner and Bidleman 1998 (ref0008), Harner et al. 2000 (ref0010) and Harner and Shoeib 2002 (ref0017) used. There is no indication of a training set and validation set used. "
meth0110,ref0028,0,1,0,0,0.25,1,EST,MLR,QSPR,EST,PAHs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.999, SE = 0.061, n=4","Multiple linear regression model for KOA of PAHs using molecular connectivitiy indexes. The final model uses 1 descriptors. KOA data from Harner and Bidleman 1998 (ref0008), Harner et al. 2000 (ref0010) and Harner and Shoeib 2002 (ref0017) used. There is no indication of a training set and validation set used. "
meth0111,ref0028,0,1,0,0,0.25,1,EST,MLR,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.990, SE = 0.173, n=10","Multiple linear regression model for KOA of PCDD/Fs using molecular connectivitiy indexes. The final model uses 1 descriptors. KOA data from Harner and Bidleman 1998 (ref0008), Harner et al. 2000 (ref0010) and Harner and Shoeib 2002 (ref0017) used. There is no indication of a training set and validation set used. "
meth0112,ref0149,0,1,1,1,0.75,3,EST,SM5.42R/BPW91/6-31G*,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,"DFT based continuum solvation model (SM5.42R) with rigid geometries, using the Becke–Perdew–Wang-1991 ~BPW91! exchange-correlation functional in the Kohn–Sham Hamiltonian with the 6-31G* basis set to derive dGo, which is then used to calculate the log KOA."
meth0122,ref0116,1,1,1,1,1,4,EXP,HS & GC,HS,Static,Alkanes,dry octanol,KOA,direct,"*CONFIRM: name of dp chemical, format of published data, methodology
Data originally published in Cheong's dissertation thesis (cited), however Cheong 2002 & 2003 notes that there are errors in the original data and the experiment was re-done. However no new data is presented. In Cheong 2002 2 values for activity are provided which match the original data provided in the Cheong thesis. ",Same method as described in Park et al. (ref0076)
meth0128,ref0092,1,1,1,1,1,4,EXP,PM,GasSol,Static,Xenon,dry octanol,Loct,direct,NA,Photomultiplier directed at a fixed amount of gaseous Xe.  The volume of gas present before and after equilibrium is used to dtermine KOA.
meth0141,ref0150,0,1,1,1,0.75,3,EST,SM5.4/AM1,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,"DFT based continuum solvation model (SM5.42R) with rigid geometries, using AM1 Hamiltonian parameterization to derive dGo, which is then used to calculate the log KOA."
meth0142,ref0128,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,"PCBs, Musk, PAHs, DDTs, other hydrocarbons",dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0143,ref0129,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,Musks,dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0144,ref0130,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,PAHs,dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0145,ref0150,0,1,1,1,0.75,3,EST,SM5.4/PM3,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,"DFT based continuum solvation model (SM5.42R) with rigid geometries, using PM3 Hamiltonian parameterization to derive dGo, which is then used to calculate the log KOA."
meth0161,ref0121,0,1,1,1,0.75,3,EST,UPPER,QSPR,EST,CBs,dry octanol,log KAO,direct,Model stats: MAE = 0.39,"UPPER model uses geometric descriptors and molecular descriptors to predict a whole range of phys-chem properties. Molecular descriptors (heat of boiling and melting, molar volume and aqueous activity constant) are obtained using additive-fragment approach. Geometric properties used are related the the entropy of the molecule: molecular symmetry, flexibility and eccentricity. Phys-chem properties relate to each other linearly or via thermodynamic relationships, and eventually allows for KOA to be calculated. Model assessed  against experimental values. These experimental values appeear to be calculated from experimental KOW and HLC values from Dannenfelser et al. 1991. "
meth0162,ref0122,0,1,0,1,0.5,2,EST,Triangle,QSPR,EST,PCDEs,wet octanol,log KOA,direct,NA,Calculated from the KOW and KAW
meth0173,ref0025,0,1,1,1,0.75,3,EST,COSMO,Solvation,EST,PAHs,dry octanol,KOA,direct,"Model stats copared with Harner and Bidleman 1998 (ref0008) only: R2 = 0.973, RMSE = 1.11","COSMOtherm model with TZVPD-FINE parameterization used to estimate the KOA. Model assessed Harner and Bidleman 1998 (ref0008), Odabasi et al. 2006b (ref0032), and Ma et al. 2009. "
meth0174,ref0035,0,1,1,1,0.75,3,EST,OLS,QSPR,EST,"PBDEs, other hydrocarbons",dry octanol,log KOA,direct,"Model stats: R2 = 0.9614, Q2(LOO) = 0.9502, RMSE = 0.28, n = 24","Ordinary linear regression model for KOA of PBDEs using molecular descriptors from DRAGON, and four quantum chemical descriptors. Strucutures optimized using the HYPERCHEM program. Training and validation data from Harner and Shoeib 2002 (ref0017), Wania et al. 2002 (ref0019), and Gouin and Harner 2003."
meth0175,ref0039,0,1,1,1,0.75,3,EST,SM8AD/CM4/M05-2X/6-31,Solvation,EST,"PCNs, PBDEs, PCBs, DDT, other hydrocarbons",dry octanol,log KOA,direct,"Model stats: R2 = 0.887, RMSE = 1.07, n = 373","SM8AD solvation model used to calculate dGo which is then used to calculate the KOA. Results are compared against data from Harner and Mackay 1995 (ref0001), Harner and Bidleman 1996 (ref0002), Gruber et al. 1997 (ref0005), Kömp and McLachlan 1997 (ref0004), Harner and Bidleman 1998 (ref0008), Zhang et al. 1999 (ref0009), Harner et al. 2000 (ref0010), Abraham et al. 2001 (ref0013), Treves et al. 2001 (ref0014), Harner and Shoeib 2002 (ref0017), Shoeib and Harner 2002 (ref0007), Su et al. 2002 (ref0018), Wania et al. 2002 (ref0019), Lei et al. 2004 (ref0022), Odabasi et al. 2006b (ref0032), Thuens et al. 2008 (ref0038), Dreyer et al. 2009 (ref0041), Hongxia et al. 2009 (ref0042), and Zhao et al. 2010 (ref0045)."
meth0176,ref0018,1,1,1,1,1,4,EXP,MR-GC-RT,RT,Indirect,"PCNs, CBs",dry octanol,log KOA,direct,NA,MR-GC-RT technique using equation 7 in the paper. Calibration for PCNs and CBs done separately. 
meth0177,ref0018,1,1,1,1,1,4,EXP,MR-GC-RT,RT,Indirect,"PCNs, CBs",dry octanol,log KOA,direct,NA,MR-GC-RT technique using equation 7 in the paper calibrated for both PCNs and CBs together. 
meth0178,ref0010,1,1,0,0,0.5,2,EXP,RTI,RT,Indirect,PCDD/Fs,dry octanol,log KOA,direct,NA,"Directly measured KOA values regressed against retention time indices (RTI) to produce 2 linear equations (equation 2 in paper), based on the amount of Cl substitutions. RTIs of other PCDDs and PCDFs were indirectly determined using these equations."
meth0179,ref0011,1,1,0,0,0.5,2,EXP,RTI,RT,Indirect,PCDD/Fs,dry octanol,log KOA,direct,NA,Applies equation 2 from Harner et al. 2000 (ref0010) to indirectly determine the KOA of PCDD/Fs. 
meth0180,ref0057,1,1,1,1,1,4,EXP,FM,FM,Dynamic,OCPs,dry octanol,log KOA,direct,"log KOA at other temperatures and errors obtained from personal communication with T. Harner. The paper reported log Koa values at 25C calculated by linear regression. Both directly measured KOA and the KOA calculated from the regression at 25 C are included in the database, with a note. ",Same methods used by Harner et al. 2000 (ref0010)
meth0181,ref0063,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,"Alkanes, alcohols",dry octanol,KOA,direct,KOA of octanol is reported.,A known quantity of solute is added to a known volume of solvent and allowed to reach equilibrium. The headspace is then analysed using GCFID. 
meth0182,ref0040,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Haloalkanes,dry octanol,KOA,direct,NA,Same as Eger et al. 1997 (ref0135)
meth0183,ref0131,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Alkanes,dry octanol,KOA,direct,NA,Same as Eger et al. 1997 (ref0135)
meth0184,ref0132,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Halogenated compounds,dry octanol,KOA,direct,NA,Same as Eger et al. 1997 (ref0135)
meth0185,ref0133,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,"Haloarenes, Arenes, Cyclic",dry octanol,KOA,direct,NA,Same as Eger et al. 1997 (ref0135)
meth0186,ref0134,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Haloalkanes,dry octanol,KOA,direct,NA,Same as Eger et al. 1997 (ref0135)
meth0187,ref0135,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Isoflurane,dry octanol,KOA,direct,NA,Octanol is saturated with a gaseous analyte and transferred to an evacuated flask and concentration of the analyte in the vapour is measured. The solution is allowed to mix and the pressure is released. The concentration of the analyte is again measued. The change in concentration and the size of the flask is used to determine KOA. 
meth0188,ref0136,0,1,0,0,0.25,1,EST,Triangle,QSPR,EST,Diverse compounds,wet octanol,dG,direct,NA,dGoct is estimated from the free energy of solvation in water (dGw) and the KOW
meth0189,ref0136,0,1,1,1,0.75,3,EST,MMFF,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,Continuum solvation Generalized Born/surface area formulation with Merck molecular force field (MMFF).
meth0190,ref0136,0,1,1,1,0.75,3,EST,OPLS,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,Continuum solvation Generalized Born/surface area formulation with Optimized Potentials for Liquid Simulations force field (OPLS).
meth0191,ref0137,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Gases,dry octanol,KOA,direct,waterbath,Same as Eger et al. 1997 (ref0135)
meth0192,ref0137,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Gases,dry octanol,KOA,direct,incubator,Same as Eger et al. 1997 (ref0135)
meth0193,ref0138,0,1,0,0,0.25,1,EST,LR,QSPR,EST,Phthalate Esters,wet octanol,log KOA,direct,Model stats: SE = 0.53,Multiple linear regression by combining MLRs for estimating Coct and Cair. The error of the model appears to be derived by comparing an estimated KOA obtained from experimental KOW and KAW values against the model predictions.
meth0194,ref0139,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Gases,dry octanol,KOA,direct,NA,Same as Eger et al. 1997 (ref0135)
meth0195,ref0140,0,1,0,0,0.25,1,EST,MLR,QSPR,EST,Aliphatic Compounds,dry octanol,Loct,direct,"Model Stats: R2 = 0.918, R = 0.958, s = 0.379, n = 47","Assumed to be a multiple linear regression model for KOA various organic compounds. The descriptors are based on CODESSA PRO QSAR software and hydrogen bonding descriptors. The source of descriptors is unclear. The model is assessed against experimental Loct values, however one of the papers refrenced does not use octanol as a solvent."
meth0196,ref0141,0,1,1,0,0.5,2,EST,MLR,QSPR,EST,Methyl and alkyl substituted naphthalenes,dry octanol,log KOA,direct,NA,MLR with Abraham Descriptors
meth0197,ref0141,0,1,1,0,0.5,2,EST,MLR,QSPR,EST,Methyl and alkyl substituted naphthalenes,wet octanol,log KOA,direct,NA,MLR with Abraham Descriptors
meth0198,ref0142,1,1,0,0,0.5,2,EXP,FM,FM,Dynamic,Pesticides,dry octanol,log KOA,direct,NA,Same methods used by Harner and Mackay 1995 (ref0001) and Shoeib and Harner 2002 (ref0007).
meth0199,ref0143,0,1,1,1,0.75,3,EST,LFER,QSPR,EST,Nonpolar organic compounds,dry octanol,log KOA,direct,"Model Stats: R2 = 0.97, RMSE = 0.38, n = 27",LFER equation developed using gas-stationary phase partitioning coefficients derived from GCxGC analysis. 
meth0200,ref0143,0,1,0,1,0.5,2,EST,ppLFER,QSPR,EST,Nonpolar organic compounds,dry octanol,log KOA,direct,NA,Uses the Goss et al. ppLFER equation for olive oil- air partitioning using Abraham solute descriptors 
meth0201,ref0144,1,1,0,1,0.75,3,EXP,Bubbler,GS,Dynamic,Triethylamine,dry octanol,HLC(oct),indirect,NA,Octanol is saturated with a gas. The depuration rate of the gas from the octanol is measured to obtain the first order rate constant and the KOA. 
meth0202,ref0145,0,1,0,1,0.5,2,EST,SLR,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,Model Stats: R2 = 0.9896,Model I (EPM7)
meth0203,ref0145,0,1,0,1,0.5,2,EST,SLR,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,Model Stats: R2 = 0.9896,Model I (ECORR)
meth0204,ref0145,0,1,0,1,0.5,2,EST,SLR,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,Model Stats: R2 = 0.9915,Model V (aPM7)
meth0205,ref0145,0,1,0,1,0.5,2,EST,SLR,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,Model Stats: R2 = 0.9861,Model VI (cDFT)
meth0206,ref0145,0,1,0,1,0.5,2,EST,SLR,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,Model Stats: R2 = 0.9821,Model VIII (?DFT)
meth0207,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9733, SE = 0.2136, n = 8","Single descriptor model using ChemAxon descriptor, Cl#. The model was cross validated and leave one out technique was used to assess model performance"
meth0208,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9584, SE = 0.2668, n = 8","Single descriptor model using ChemAxon descriptor, Harary index. The model was cross validated and leave one out technique was used to assess model performance"
meth0209,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9733, SE = 0.2136, n = 8","Single descriptor model using ChemAxon descriptor, Platt index. The model was cross validated and leave one out technique was used to assess model performance"
meth0210,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9693, SE = 0.2292, n = 8","Single descriptor model using ChemAxon descriptor, Randic index. The model was cross validated and leave one out technique was used to assess model performance"
meth0211,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9734, SE = 0.2136, n = 8","Single descriptor model using ChemAxon descriptor, Refractivity. The model was cross validated and leave one out technique was used to assess model performance"
meth0212,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9663, SE = 0.2401, n = 8","Single descriptor model using ChemAxon descriptor, Szeged index. The model was cross validated and leave one out technique was used to assess model performance"
meth0213,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.965, SE = 0.2447, n = 8","Single descriptor model using ChemAxon descriptor, Wiener index. The model was cross validated and leave one out technique was used to assess model performance"
meth0214,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9624, SE = 0.2537, n = 8","Single descriptor model using ChemAxon descriptor, Hyper Wiener index. The model was cross validated and leave one out technique was used to assess model performance"
meth0215,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9187, SE = 0.3729, n = 8","Single descriptor model using ChemAxon descriptor, Wiener polarity. The model was cross validated and leave one out technique was used to assess model performance"
meth0216,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.8328, SE = 0.5349, n = 8","Single descriptor model using ChemAxon descriptor, Dreiding energy. The model was cross validated and leave one out technique was used to assess model performance"
meth0217,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9756, SE = 0.2044, n = 8","Single descriptor model using ChemAxon descriptor, Solvent accessible surface area (Å2). The model was cross validated and leave one out technique was used to assess model performance"
meth0218,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9733, SE = 0.2138, n = 8","Single descriptor model using ChemAxon descriptor, molar volume (cm3). The model was cross validated and leave one out technique was used to assess model performance"
meth0219,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9726, SE = 0.2166, n = 8","Single descriptor model using ChemAxon descriptor, polarizability. The model was cross validated and leave one out technique was used to assess model performance"
meth0220,ref0146,0,1,1,1,0.75,3,EST,SLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model Stats: R2 = 0.9735, SE = 0.2129, n = 8","Single descriptor model using ChemAxon descriptor, p energy. The model was cross validated and leave one out technique was used to assess model performance"
meth0221,ref0147,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,OPEs,dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0222,ref0132,1,1,0,1,0.75,3,EXP,HS Vac,HS,Static,Halogenated compounds,wet octanol,KOA,direct,NA,Same as Eger et al. 1997 (ref0135)
meth0223,ref0151,0,1,1,1,0.75,3,EST,MC,QSPR,EST,Simple diverse compounds,dry octanol,log KOA,direct,"Model Stats: R2 = 0.87, RMSE = 0.64",Monte Carlo analysis using BOSS 4.1. OPLSA-AA parameters were determined using PM3 single point calculations and compute scaled CM1P charges. 
meth0224,ref0152,1,1,0,1,0.75,3,EXP,Bubbler,GS,Dynamic,PAN,dry octanol,HLC(oct),indirect,NA,Octanol is saturated with a gas. The depuration rate of the gas from the octanol is measured to obtain the first order rate constant and the KOA. 
meth0225,ref0153,0,1,0,1,0.5,2,EST,Triangle,QSPR,EST,"Novel flame retardants (brominated and chlorinated phtalates and aliphatic compounds, etc.)",dry octanol,log KOA,direct,The value of KOW and HLC used by KOAWIN is not included in the paper. (KOAWIN will first check for experimental values then use estimated values),Uses the EPISuite Model to estimate KOA. This paper also compares the results against other prediction techniques
meth0226,ref0153,0,1,0,1,0.5,2,EST,SPARC,Solvation,EST,"Novel flame retardants (brominated and chlorinated phtalates and aliphatic compounds, etc.)",dry octanol,log KOA,direct,NA,Uses the SPARC model to estimate KOA. This paper also compares the results against other prediction techniques.
meth0227,ref0153,0,1,0,1,0.5,2,EST,ABSOLV,QSPR,EST,"Novel flame retardants (brominated and chlorinated phtalates and aliphatic compounds, etc.)",dry octanol,log KOA,direct,NA,Uses the ABSOLV model to estimate KOA. This paper also compares the results against other prediction techniques.
meth0228,ref0154,0,1,1,1,0.75,3,EST,additive,QSPR,EST,Diverse compounds,dry octanol,log KOA,direct,NA,Additive approach using geometric fragments. Coefficients for each fragment obtained via MLR.
meth0229,ref0155,0,1,1,1,0.75,3,EST,SMD/HF/MIDI!6D,Solvation,EST,Diverse compounds,dry octanol,log KOA,direct,"Model stats: R2 = 0.974, RMSE = 0.194, n = 30",Universal solvation model based on density (SMD) developed and optimized using different different theoretical calculation methods and basis sets. 100 different combinations were compared and tested to determine that HF/MIDI!6D parameterization works best
