PropID,DataID,Property,Value,Prop_Type,Prop_refID,Obtained_from,From Org. Paper
prop0626,data002578,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0627,data002580,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0628,data002584,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0629,data002587,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0630,data002616,log_KOW,8.2,EXP,ref0026,EXP value,TRUE
prop0631,data002622,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0632,data002627,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0633,data002636,log_KOW,6.1,EXP,ref0026,EXP value,TRUE
prop0634,data002637,log_KOW,6.1,EXP,ref0026,EXP value,TRUE
prop0635,data002638,log_KOW,6.08,EXP,ref0026,EXP value,TRUE
prop0636,data002639,log_KOW,6.08,EXP,ref0026,EXP value,TRUE
prop0637,data002640,log_KOW,6.22,EXP,ref0026,EXP value,TRUE
prop0638,data002641,log_KOW,6.22,EXP,ref0026,EXP value,TRUE
prop0639,data002643,log_KOW,5.44,EXP,ref0026,EXP value,TRUE
prop0640,data002646,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0641,data002651,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0642,data002665,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0643,data002684,log_KOW,1.409933123,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0644,data002687,log_KOW,1.409933123,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0645,data002690,log_KOW,0.361727836,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0646,data002699,log_KOW,4.97,EXP,ref0026,EXP value,TRUE
prop0647,data002727,log_KOW,8.21,EST,ref0026,EPISuite EST,TRUE
prop0648,data002741,log_KOW,5.48,EST,ref0026,EPISuite EST,TRUE
prop0649,data002742,log_KOW,5.48,EST,ref0026,EPISuite EST,TRUE
prop0650,data002747,log_KOW,5.63,EST,ref0026,EPISuite EST,TRUE
prop0651,data002758,log_KOW,6.6,EXP,ref0026,EXP value,TRUE
prop0652,data002763,log_KOW,6.6,EXP,ref0026,EXP value,TRUE
prop0653,data002781,log_KOW,5.55,EXP,ref0026,EXP value,TRUE
prop0654,data002795,log_KOW,7.12,EXP,ref0026,EXP value,TRUE
prop0655,data002803,log_KOW,7.12,EXP,ref0026,EXP value,TRUE
prop0656,data002811,log_KOW,5.76,EXP,ref0026,EXP value,TRUE
prop0657,data002816,log_KOW,5.76,EXP,ref0026,EXP value,TRUE
prop0658,data002838,log_KOW,6.31,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0659,data002839,log_KOW,6.31,EXP,ref0026,EXP value,TRUE
prop0660,data002854,log_KOW,6.4,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0661,data002870,log_KOW,6.79,EXP,ref0026,EXP value,TRUE
prop0662,data002879,log_KOW,6.79,EXP,ref0026,EXP value,TRUE
prop0663,data002941,log_KOW,7.1,EXP,ref0026,EXP value,TRUE
prop0664,data002949,log_KOW,5.75,EXP,ref0026,EXP value,TRUE
prop0665,data002953,log_KOW,5.75,EXP,ref0026,EXP value,TRUE
prop0666,data002967,log_KOW,6.28,EXP,ref0026,EXP value,TRUE
prop0667,data002972,log_KOW,6.28,EXP,ref0026,EXP value,TRUE
prop0668,data002981,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0669,data002986,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0670,data003018,log_KOW,5.09,EXP,ref0026,EXP value,TRUE
prop0671,data003017,log_KOW,5.1,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0672,data003040,log_KOW,6.7,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0673,data003031,log_KOW,7.44,EXP,ref0026,EXP value,TRUE
prop0674,data003041,log_KOW,7.44,EXP,ref0026,EXP value,TRUE
prop0675,data003061,log_KOW,8.27,EST,ref0026,EPISuite EST,TRUE
prop0676,data003073,log_KOW,8.27,EST,ref0026,EPISuite EST,TRUE
prop0677,data003089,log_KOW,7.08,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0678,data003124,log_KOW,8.2,EXP,ref0026,EXP value,TRUE
prop0679,data003141,log_KOW,6.73,EST,ref0026,EPISuite EST,TRUE
prop0680,data003171,log_KOW,6.55,EXP,ref0026,EXP value,TRUE
prop0681,data003183,log_KOW,6.55,EXP,ref0026,EXP value,TRUE
prop0682,data003197,log_KOW,6.6,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0683,data003205,log_KOW,6.5,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0684,data003220,log_KOW,6.22,EXP,ref0026,EXP value,TRUE
prop0685,data003218,log_KOW,6.3,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0686,data003237,log_KOW,7.28,EXP,ref0026,EXP value,TRUE
prop0687,data003254,log_KOW,7,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0688,data003299,log_KOW,5.75,EXP,ref0026,EXP value,TRUE
prop0689,data003340,log_KOW,5.8,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0690,data003363,log_KOW,5.6,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0691,data003382,log_KOW,8.6,EXP,ref0026,EXP value,TRUE
prop0692,data003391,log_KOW,7.8,EXP,ref0026,EXP value,TRUE
prop0693,data003407,log_KOW,4.75,EXP,ref0026,EXP value,TRUE
prop0694,data003412,log_KOW,4.75,EXP,ref0026,EXP value,TRUE
prop0695,data003425,log_KOW,6.35,EXP,ref0026,EXP value,TRUE
prop0696,data003435,log_KOW,7.4,EXP,ref0026,EXP value,TRUE
prop0697,data003478,log_KOW,6.35,EXP,ref0026,EXP value,TRUE
prop0698,data003479,log_KOW,6.35,EXP,ref0026,EXP value,TRUE
prop0699,data003512,log_KOW,6.64,EXP,ref0026,EXP value,TRUE
prop0700,data003559,log_KOW,5.81,EXP,ref0026,EXP value,TRUE
prop0701,data003557,log_KOW,6,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0702,data003580,log_KOW,6.1,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0703,data003572,log_KOW,6.22,EXP,ref0026,EXP value,TRUE
prop0704,data003581,log_KOW,6.22,EXP,ref0026,EXP value,TRUE
prop0705,data003595,log_KOW,6.34,EST,ref0026,EPISuite EST,TRUE
prop0706,data003603,log_KOW,6.34,EST,ref0026,EPISuite EST,TRUE
prop0707,data003666,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0708,data003669,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0709,data003684,log_KOW,6.53,EXP,ref0026,EXP value,TRUE
prop0710,data003689,log_KOW,6.53,EXP,ref0026,EXP value,TRUE
prop0711,data003700,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0712,data003705,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0713,data003714,log_KOW,6.19,EXP,ref0026,EXP value,TRUE
prop0714,data003719,log_KOW,6.19,EXP,ref0026,EXP value,TRUE
prop0715,data003728,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0716,data003732,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0717,data003757,log_KOW,6.34,EST,ref0026,EPISuite EST,TRUE
prop0718,data003777,log_KOW,6.04,EXP,ref0026,EXP value,TRUE
prop0719,data003838,log_KOW,8.27,EST,ref0026,EPISuite EST,TRUE
prop0720,data003868,log_KOW,8.27,EST,ref0026,EPISuite EST,TRUE
prop0721,data003876,log_KOW,8.27,EST,ref0026,EPISuite EST,TRUE
prop0722,data003978,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0723,data003983,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0724,data004022,log_KOW,8.23,EST,ref0026,EPISuite EST,TRUE
prop0725,data004042,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0726,data004047,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0727,data004056,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0728,data004061,log_KOW,5.1,EST,ref0026,EPISuite EST,TRUE
prop0729,data004075,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0730,data004080,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0731,data004091,log_KOW,5.81,EXP,ref0026,EXP value,TRUE
prop0732,data004096,log_KOW,5.81,EXP,ref0026,EXP value,TRUE
prop0733,data004132,log_KOW,6.92,EXP,ref0026,EXP value,TRUE
prop0734,data004134,log_KOW,7.92,EST,ref0026,EPISuite EST,TRUE
prop0735,data004143,log_KOW,6.98,EST,ref0026,EPISuite EST,TRUE
prop0736,data004151,log_KOW,6.98,EST,ref0026,EPISuite EST,TRUE
prop0737,data004161,log_KOW,8.21,EST,ref0026,EPISuite EST,TRUE
prop0738,data004171,log_KOW,6.23,EXP,ref0026,EXP value,TRUE
prop0739,data004185,log_KOW,7.04,EST,ref0026,EPISuite EST,TRUE
prop0740,data004190,log_KOW,7.04,EST,ref0026,EPISuite EST,TRUE
prop0741,data004243,log_KOW,7.92,EST,ref0026,EPISuite EST,TRUE
prop0742,data004278,log_KOW,6.9,EXP,ref0026,EXP value,TRUE
prop0743,data004283,log_KOW,7.92,EXP,ref0026,EXP value,TRUE
prop0744,data004291,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0745,data004302,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0746,data004307,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0747,data004316,log_KOW,7.04,EST,ref0026,EPISuite EST,TRUE
prop0748,data004320,log_KOW,7.04,EST,ref0026,EPISuite EST,TRUE
prop0749,data004478,log_KOW,7.92,EST,ref0026,EPISuite EST,TRUE
prop0750,data004493,log_KOW,7.92,EST,ref0026,EPISuite EST,TRUE
prop0751,data004512,log_KOW,6.98,EST,ref0026,EPISuite EST,TRUE
prop0752,data004520,log_KOW,6.98,EST,ref0026,EPISuite EST,TRUE
prop0753,data004630,log_KOW,8.27,EST,ref0026,EPISuite EST,TRUE
prop0754,data004698,log_KOW,6.94,EXP,ref0026,EXP value,TRUE
prop0755,data004702,log_KOW,7.92,EST,ref0026,EPISuite EST,TRUE
prop0756,data004707,log_KOW,7.04,EST,ref0026,EPISuite EST,TRUE
prop0757,data004712,log_KOW,7.04,EST,ref0026,EPISuite EST,TRUE
prop0758,data004746,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0759,data004751,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0760,data004761,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0761,data004766,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0762,data004776,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0763,data004781,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0764,data004790,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0765,data004795,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0766,data004805,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0767,data004810,log_KOW,5.75,EST,ref0026,EPISuite EST,TRUE
prop0768,data004819,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0769,data004824,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0770,data004848,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0771,data004853,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0772,data004871,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0773,data004876,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0774,data004887,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0775,data004892,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0776,data004902,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0777,data004907,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0778,data004920,log_KOW,6.39,EST,ref0026,EPISuite EST,TRUE
prop0779,data004956,log_KOW,6.77,EST,ref0026,EPISuite EST,TRUE
prop0780,data005345,log_KOW,1.480006943,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0781,data005348,log_KOW,2.159867847,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0782,data005350,log_KOW,2.530199698,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0783,data005352,log_KOW,0.602059991,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0784,data005354,log_KOW,1.42975228,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0785,data005356,log_KOW,1.100370545,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0786,data005358,log_KOW,3.169997537,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0787,data005361,log_KOW,1.579783597,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0788,data005363,log_KOW,1.840106094,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0789,data005365,log_KOW,4.029383778,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0790,data002180,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0791,data002067,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0792,data000110,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0793,data002078,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0794,data000846,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0795,data002173,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0796,data002741,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0797,data000113,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0798,data002742,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0799,data000061,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0800,data000939,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0801,data001666,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0802,data000958,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0803,data002370,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0804,data000955,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0805,data000959,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0806,data000956,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0807,data001619,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0808,data001840,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0809,data000011,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0810,data001674,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0811,data000945,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0812,data002228,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0813,data001235,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0814,data001709,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0815,data001871,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0816,data001627,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0817,data001845,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0818,data001912,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0819,data001953,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0820,data000035,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Suntio et al. 1988",TRUE
prop0821,data000034,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0822,data000167,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0823,data001061,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0824,data002967,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0825,data003382,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0826,data002727,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0827,data004161,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0828,data000050,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0829,data000071,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0830,data000004,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0831,data000798,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0832,data000950,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0833,data002079,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0834,data003435,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0835,data003512,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0836,data000921,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0837,data000284,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0838,data002338,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0839,data000118,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0840,data001529,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0841,data001776,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0842,data001243,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0843,data001717,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0844,data001877,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0845,data001890,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0846,data004956,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0847,data000082,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0848,data002478,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0849,data003061,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0850,data003391,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0851,data002063,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0852,data002758,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0853,data000613,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0854,data000711,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0855,data000073,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0856,data000808,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0857,data000052,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0858,data004132,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0859,data000036,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0860,data000030,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0861,data003684,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0862,data004022,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0863,data000168,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Suntio et al. 1988",TRUE
prop0864,data002080,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0865,data000852,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0866,data000169,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0867,data002616,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0868,data004134,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0869,data004243,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0870,data004478,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0871,data004493,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0872,data004702,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0873,data003031,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0874,data002941,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0875,data002479,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0876,data000120,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0877,data001062,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0878,data001441,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0879,data001534,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0880,data001781,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0881,data001795,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0882,data001802,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0883,data001827,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0884,data001867,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0885,data001960,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0886,data004278,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0887,data000084,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0888,data000008,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0889,data000951,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Suntio et al. 1988",TRUE
prop0890,data000129,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0891,data000927,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0892,data000255,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0893,data000285,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0894,data000857,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0895,data001381,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0896,data000271,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0897,data000172,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0898,data000776,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0899,data002064,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0900,data003073,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0901,data000925,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0902,data000199,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0903,data002638,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0904,data003478,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0905,data004698,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0906,data000859,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0907,data000952,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0908,data000135,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0909,data000788,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0910,data004283,log_KAW,#REF!,Calc,ref0026,VP/WSol,TRUE
prop0911,data000341,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0912,data004171,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0913,data002377,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0914,data002949,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0915,data003689,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0916,data000714,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0917,data000645,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0918,data000826,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0919,data001207,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0920,data001132,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0921,data001564,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0922,data001693,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0923,data001771,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0924,data001834,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0925,data001860,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0926,data003407,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0927,data002763,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0928,data003041,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0929,data001454,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0930,data000007,log_KAW,#REF!,NA,ref0003,"reported in Finizio et al. 1997, originally from Suntio et al. 1988",TRUE
prop0931,data001596,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
prop0932,data000737,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0933,data002639,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0934,data003479,log_KAW,#REF!,EST,ref0026,EPISuite EST,TRUE
prop0935,data000249,log_KAW,#REF!,EXP,ref0026,EXP value,TRUE
prop0936,data001502,log_KAW,#REF!,EST,ref0026,"EPISuite, HENRYWIN",TRUE
